177:year;ago
228:customer;service
283:great;place
423:ice;cream
309:really;good
164:food;great
181:love;place
130:would;definitely
150:pretty;much
149:fish;sandwich
252:food;good
149:good;service
219:highly;recommend
181:look;like
113:really;nice
221:make;sure
133:would;recommend
141:definitely;back
110:reasonable;price
154:going;back
122:looked;like
210:good;food
121:across;street
189:one;best
103:mac;cheese
101:friendly;staff
104:reasonably;priced
239:feel;like
331:first;time
269:even;though
110:good;thing
216:happy;hour
208:beer;selection
135:french;fry
384:pretty;good
249:come;back
155:great;service
128:service;good
112:good;place
154:great;food
235:next;time
108:place;like
128:long;time
102:next;day
108:front;desk
135:service;great
127:french;toast
124:felt;like
105:dining;room
133:wait;staff
143:one;favorite
120:dor;stop
102:coming;back
107:cole;slaw
155:staff;friendly
124:food;service
101:nothing;special
248:every;time
115:saturday;night
167:much;better
115:tasted;like
161:parking;lot
134:place;get
165:last;time
158:last;night
144:grocery;store
107:lobster;roll
166:giant;eagle
201:whole;food
103:market;square
205:hot;dog
163:strip;district
125:pasta;trio
